status,eligible_for_model_training,purpose,raw_subtitle,raw_value_is_null,race_count,cumulative_race_coverage,mapped_stage,mapping_method,confidence,manual_review_priority,current_review_status,mapping_version
provisional,false,policy_execution_validation,予選,false,53091,0.356420687988399,qualifying,manual_seed_v1,high,complete,manual_seed_reviewed,race_stage_taxonomy_v1
provisional,false,policy_execution_validation,一般,false,22524,0.507633126560864,general,manual_seed_v1,high,complete,manual_seed_reviewed,race_stage_taxonomy_v1
provisional,false,policy_execution_validation,予選特賞,false,8882,0.567261473186713,qualifying,automatic_rule_v1,medium,P1,auto_rule_unreviewed,race_stage_taxonomy_v1
provisional,false,policy_execution_validation,一般戦,false,7239,0.615859716963399,general,manual_seed_v1,high,complete,manual_seed_reviewed,race_stage_taxonomy_v1
provisional,false,policy_execution_validation,準優勝戦,false,6210,0.657549880501625,semifinal,manual_seed_v1,high,complete,manual_seed_reviewed,race_stage_taxonomy_v1
provisional,false,policy_execution_validation,予選特選,false,5814,0.696581540857703,qualifying,automatic_rule_v1,medium,P1,auto_rule_unreviewed,race_stage_taxonomy_v1
provisional,false,policy_execution_validation,選抜戦,false,3147,0.717708585085529,selection,manual_seed_v1,high,complete,manual_seed_reviewed,race_stage_taxonomy_v1
provisional,false,policy_execution_validation,優勝戦,false,2242,0.732760009667284,final,manual_seed_v1,high,complete,manual_seed_reviewed,race_stage_taxonomy_v1
provisional,false,policy_execution_validation,一般特選,false,1232,0.741030908456188,general,automatic_rule_v1,medium,P1,auto_rule_unreviewed,race_stage_taxonomy_v1
provisional,false,policy_execution_validation,記者選抜戦,false,925,0.747240795939741,selection,automatic_rule_v1,medium,P1,auto_rule_unreviewed,race_stage_taxonomy_v1
provisional,false,policy_execution_validation,特選,false,882,0.753162007572706,special,automatic_rule_v1,medium,P1,auto_rule_unreviewed,race_stage_taxonomy_v1
provisional,false,policy_execution_validation,ドリーム戦,false,822,0.758680415693225,dream,manual_seed_v1,high,complete,manual_seed_reviewed,race_stage_taxonomy_v1
provisional,false,policy_execution_validation,特賞,false,786,0.763957141706276,special,automatic_rule_v1,medium,P1,auto_rule_unreviewed,race_stage_taxonomy_v1
provisional,false,policy_execution_validation,特別選抜戦,false,723,0.768810924031258,selection,automatic_rule_v1,medium,P1,auto_rule_unreviewed,race_stage_taxonomy_v1
provisional,false,policy_execution_validation,戸田特賞,false,618,0.772959800209458,special,automatic_rule_v1,medium,P1,auto_rule_unreviewed,race_stage_taxonomy_v1
provisional,false,policy_execution_validation,予選特別B戦,false,568,0.776773006793953,qualifying,automatic_rule_v1,medium,P1,auto_rule_unreviewed,race_stage_taxonomy_v1
provisional,false,policy_execution_validation,ドラドキ3,false,495,0.780096135771637,unknown,unknown_fallback_v1,low,P0,unknown_unreviewed,race_stage_taxonomy_v1
provisional,false,policy_execution_validation,ドラドキ目玉,false,495,0.783419264749322,unknown,unknown_fallback_v1,low,P0,unknown_unreviewed,race_stage_taxonomy_v1
provisional,false,policy_execution_validation,ファーストB,false,495,0.786742393727007,unknown,unknown_fallback_v1,low,P0,unknown_unreviewed,race_stage_taxonomy_v1
provisional,false,policy_execution_validation,サンライズV戦,false,485,0.789998388785950,unknown,unknown_fallback_v1,low,P0,unknown_unreviewed,race_stage_taxonomy_v1
provisional,false,policy_execution_validation,サンライズW戦,false,485,0.793254383844894,unknown,unknown_fallback_v1,low,P0,unknown_unreviewed,race_stage_taxonomy_v1
provisional,false,policy_execution_validation,サンライズX戦,false,485,0.796510378903837,unknown,unknown_fallback_v1,low,P0,unknown_unreviewed,race_stage_taxonomy_v1
provisional,false,policy_execution_validation,サンライズY戦,false,485,0.799766373962781,unknown,unknown_fallback_v1,low,P0,unknown_unreviewed,race_stage_taxonomy_v1
provisional,false,policy_execution_validation,サンライズZ戦,false,485,0.803022369021725,unknown,unknown_fallback_v1,low,P0,unknown_unreviewed,race_stage_taxonomy_v1
provisional,false,policy_execution_validation,ドラドキ5,false,484,0.806271650688794,unknown,unknown_fallback_v1,low,P0,unknown_unreviewed,race_stage_taxonomy_v1
provisional,false,policy_execution_validation,エイトビート,false,481,0.809500792180241,unknown,unknown_fallback_v1,low,P0,unknown_unreviewed,race_stage_taxonomy_v1
provisional,false,policy_execution_validation,進入固定戦隊,false,479,0.812716506887940,fixed_entry_format,automatic_rule_v1,medium,P2,auto_rule_unreviewed,race_stage_taxonomy_v1
provisional,false,policy_execution_validation,5ールドレース,false,456,0.815777813582534,unknown,unknown_fallback_v1,low,P0,unknown_unreviewed,race_stage_taxonomy_v1
provisional,false,policy_execution_validation,住之江ファイブ,false,448,0.818785413142136,unknown,unknown_fallback_v1,low,P0,unknown_unreviewed,race_stage_taxonomy_v1
provisional,false,policy_execution_validation,昼どきピンクル,false,436,0.821712451999248,unknown,unknown_fallback_v1,low,P0,unknown_unreviewed,race_stage_taxonomy_v1
provisional,false,policy_execution_validation,朝からセンプル,false,436,0.824639490856360,unknown,unknown_fallback_v1,low,P0,unknown_unreviewed,race_stage_taxonomy_v1
provisional,false,policy_execution_validation,一般特賞,false,430,0.827526249362228,general,automatic_rule_v1,medium,P2,auto_rule_unreviewed,race_stage_taxonomy_v1
provisional,false,policy_execution_validation,ツッキーレース,false,426,0.830386154300599,unknown,unknown_fallback_v1,low,P0,unknown_unreviewed,race_stage_taxonomy_v1
provisional,false,policy_execution_validation,予選特別A戦,false,413,0.833158785144607,qualifying,automatic_rule_v1,medium,P2,auto_rule_unreviewed,race_stage_taxonomy_v1
provisional,false,policy_execution_validation,みくにあさイチ,false,403,0.835864282069873,unknown,unknown_fallback_v1,low,P0,unknown_unreviewed,race_stage_taxonomy_v1
provisional,false,policy_execution_validation,みくにあさガチ,false,403,0.838569778995140,unknown,unknown_fallback_v1,low,P0,unknown_unreviewed,race_stage_taxonomy_v1
provisional,false,policy_execution_validation,みくにあさズバ,false,403,0.841275275920406,unknown,unknown_fallback_v1,low,P0,unknown_unreviewed,race_stage_taxonomy_v1
provisional,false,policy_execution_validation,みくにあさ推し,false,403,0.843980772845673,unknown,unknown_fallback_v1,low,P0,unknown_unreviewed,race_stage_taxonomy_v1
provisional,false,policy_execution_validation,ウインウイン5,false,403,0.846686269770939,unknown,unknown_fallback_v1,low,P0,unknown_unreviewed,race_stage_taxonomy_v1
provisional,false,policy_execution_validation,ウインウイン7,false,403,0.849391766696206,unknown,unknown_fallback_v1,low,P0,unknown_unreviewed,race_stage_taxonomy_v1
provisional,false,policy_execution_validation,ランチタイム戦,false,380,0.851942855608368,unknown,unknown_fallback_v1,low,P0,unknown_unreviewed,race_stage_taxonomy_v1
provisional,false,policy_execution_validation,準優進出戦,false,366,0.854399957034292,semifinal_qualification,automatic_rule_v1,medium,P2,auto_rule_unreviewed,race_stage_taxonomy_v1
provisional,false,policy_execution_validation,ブレイクタイム,false,362,0.856830204892720,unknown,unknown_fallback_v1,low,P0,unknown_unreviewed,race_stage_taxonomy_v1
provisional,false,policy_execution_validation,シーモ戦,false,360,0.859247025967400,unknown,unknown_fallback_v1,low,P0,unknown_unreviewed,race_stage_taxonomy_v1
provisional,false,policy_execution_validation,予選選抜,false,351,0.861603426515213,qualifying,automatic_rule_v1,medium,P2,auto_rule_unreviewed,race_stage_taxonomy_v1
provisional,false,policy_execution_validation,とにかくなると,false,327,0.863798705658047,unknown,unknown_fallback_v1,low,P0,unknown_unreviewed,race_stage_taxonomy_v1
provisional,false,policy_execution_validation,とるならなると,false,327,0.865993984800881,unknown,unknown_fallback_v1,low,P0,unknown_unreviewed,race_stage_taxonomy_v1
provisional,false,policy_execution_validation,どきどきなると,false,327,0.868189263943715,unknown,unknown_fallback_v1,low,P0,unknown_unreviewed,race_stage_taxonomy_v1
provisional,false,policy_execution_validation,どーなるなると,false,327,0.870384543086549,unknown,unknown_fallback_v1,low,P0,unknown_unreviewed,race_stage_taxonomy_v1
provisional,false,policy_execution_validation,日替艇食戦,false,327,0.872579822229383,unknown,unknown_fallback_v1,low,P0,unknown_unreviewed,race_stage_taxonomy_v1
provisional,false,policy_execution_validation,朝得ガァ〜コ戦,false,327,0.874775101372217,unknown,unknown_fallback_v1,low,P0,unknown_unreviewed,race_stage_taxonomy_v1
provisional,false,policy_execution_validation,コジマだ4っ!,false,316,0.876896533204436,unknown,unknown_fallback_v1,low,P0,unknown_unreviewed,race_stage_taxonomy_v1
provisional,false,policy_execution_validation,戸田特選,false,306,0.878950831117914,special,automatic_rule_v1,medium,P2,auto_rule_unreviewed,race_stage_taxonomy_v1
provisional,false,policy_execution_validation,記者特選,false,304,0.880991702247644,special,automatic_rule_v1,medium,P2,auto_rule_unreviewed,race_stage_taxonomy_v1
provisional,false,policy_execution_validation,カチ勝ち6,false,294,0.882965439458632,unknown,unknown_fallback_v1,low,P0,unknown_unreviewed,race_stage_taxonomy_v1
provisional,false,policy_execution_validation,昼得クラリス戦,false,294,0.884939176669621,unknown,unknown_fallback_v1,low,P0,unknown_unreviewed,race_stage_taxonomy_v1
provisional,false,policy_execution_validation,穴ガチ7,false,294,0.886912913880609,unknown,unknown_fallback_v1,low,P0,unknown_unreviewed,race_stage_taxonomy_v1
provisional,false,policy_execution_validation,東京ベイランチ,false,284,0.888819517172856,unknown,unknown_fallback_v1,low,P0,unknown_unreviewed,race_stage_taxonomy_v1
provisional,false,policy_execution_validation,ガチ勝゛ち8,false,282,0.890712693681356,unknown,unknown_fallback_v1,low,P0,unknown_unreviewed,race_stage_taxonomy_v1
provisional,false,policy_execution_validation,ランチ特賞,false,274,0.892552163054862,special,automatic_rule_v1,medium,P2,auto_rule_unreviewed,race_stage_taxonomy_v1
provisional,false,policy_execution_validation,ベイブレイク,false,273,0.894384919036494,unknown,unknown_fallback_v1,low,P0,unknown_unreviewed,race_stage_taxonomy_v1
provisional,false,policy_execution_validation,モーニング予選,false,264,0.896157254491259,qualifying,automatic_rule_v1,medium,P2,auto_rule_unreviewed,race_stage_taxonomy_v1
provisional,false,policy_execution_validation,カタメン1予選,false,244,0.897795322108542,qualifying,automatic_rule_v1,medium,P2,auto_rule_unreviewed,race_stage_taxonomy_v1
provisional,false,policy_execution_validation,カタメン3予選,false,244,0.899433389725825,qualifying,automatic_rule_v1,medium,P2,auto_rule_unreviewed,race_stage_taxonomy_v1
provisional,false,policy_execution_validation,福岡選抜,false,244,0.901071457343108,selection,automatic_rule_v1,medium,P2,auto_rule_unreviewed,race_stage_taxonomy_v1
provisional,false,policy_execution_validation,昼トコ小判R,false,239,0.902675958001020,unknown,unknown_fallback_v1,low,P0,unknown_unreviewed,race_stage_taxonomy_v1
provisional,false,policy_execution_validation,朝トコ小判R,false,239,0.904280458658933,unknown,unknown_fallback_v1,low,P0,unknown_unreviewed,race_stage_taxonomy_v1
provisional,false,policy_execution_validation,ウチまる特賞,false,234,0.905851392357475,special,automatic_rule_v1,medium,P2,auto_rule_unreviewed,race_stage_taxonomy_v1
provisional,false,policy_execution_validation,ガチトク予選,false,233,0.907415612664142,qualifying,automatic_rule_v1,medium,P2,auto_rule_unreviewed,race_stage_taxonomy_v1
